,0
0,09771
1,16077
2,07132
3,09171
4,07331
5,09361
6,14521
7,09561
8,16071
9,16070
10,09661
11,03452
12,07332
13,07141
14,03358
15,06632
16,06434
17,09672
18,07133
19,07131
20,09673
21,01062
22,09172
23,16063
24,06439
25,01060
26,09173
27,08211
28,08417
29,09461
30,14625
31,09462
32,12067
33,15089
34,08426
35,07134
36,07232
37,05314
38,05554
39,05512
40,03461
41,12051
42,03101
43,15086
44,08115
45,01058
46,09676
47,08235
48,03351
49,09372
50,03453
51,09463
52,07135
53,05558
54,12052
55,03352
56,09174
57,06411
58,07233
59,09271
60,03401
61,15001
62,05766
63,03251
64,09575
65,09773
66,09279
67,05358
68,09175
69,12060
70,09176
71,16056
72,16074
73,08316
74,09179
75,06437
76,09177
77,16051
78,09562
79,06636
80,05113
81,08116
82,05366
83,01055
84,09474
85,12071
86,07311
87,12053
88,06412
89,14522
90,08311
91,09178
92,08237
93,09272
94,06440
95,06631
96,09563
97,09180
98,07334
99,06531
100,03151
101,03153
102,16067
103,16076
104,08117
105,14626
106,03152
107,09774
108,13072
109,15085
110,15083
111,15002
112,07316
113,03252
114,05915
115,06435
116,09674
117,01051
118,08135
119,16061
120,08121
121,05370
122,03154
123,06431
124,12062
125,16069
126,09464
127,06436
128,03255
129,06634
130,10045
131,01054
132,05762
133,07339
134,09161
135,01061
136,03455
137,07312
138,08212
139,09677
140,09762
141,09763
142,01002
143,07333
144,09675
145,05154
146,07111
147,06635
148,05114
149,09476
150,09477
151,07336
152,15082
153,08126
154,07313
155,09181
156,09574
157,06535
158,03457
159,09478
160,06533
161,12072
162,15091
163,08336
164,12061
165,01003
166,03354
167,03355
168,06534
169,09777
170,16066
171,14627
172,09764
173,03454
174,15088
175,10042
176,05958
177,09182
178,09778
179,07143
180,08225
181,05116
182,09183
183,16064
184,05117
185,05515
186,15084
187,13071
188,09185
189,09373
190,01004
191,10043
192,12068
193,09374
194,07138
195,03256
196,16062
197,03456
198,03155
199,05119
200,06413
201,05966
202,12065
203,03356
204,03156
205,13076
206,09262
207,03157
208,12070
209,09186
210,09277
211,01056
212,07317
213,14628
214,01057
215,12073
216,08216
217,12063
218,01053
219,08436
220,09276
221,09362
222,05120
223,09163
224,03357
225,08325
226,16073
227,10041
228,10044
229,15081
230,15087
231,05382
232,10046
233,16075
234,01059
235,09565
236,09376
237,08127
238,12064
239,12066
240,05970
241,08437
242,07140
243,05974
244,16065
245,16072
246,09780
247,03359
248,03257
249,09188
250,05566
251,15090
252,13073
253,09263
254,16054
255,16068
256,08128
257,09377
258,14730
259,09189
260,07211
261,08327
262,03360
263,08421
264,03460
265,03361
266,05166
267,08119
268,08337
269,05570
270,09363
271,09190
272,16055
273,09577
274,03451
275,06532
276,06414
277,03405
278,03353
279,13074
280,07231
281,03462
282,03158
283,03103
284,09479
285,05124
286,
287,07320
288,14524
